PLATNA_OD|CNB_DISKONTNI_SAZBA_V_%
19900101|4,00
19900401|5,00
19901001|7,00
19901111|8,50
19910101|10,00
19910908|9,50
19920325|9,00
19920826|8,00
19921230|9,50
19930610|8,00
19941024|8,50
19950626|9,50
19960621|10,50
19970527|13,00
19980814|11,50
19981027|10,00
19981223|7,50
19990312|6,00
19990903|5,50
19991027|5,00
20010223|4,00
20010727|4,25
20011130|3,75
20020122|3,50
20020201|3,25
20020426|2,75
20020726|2,00
20021101|1,75
20030131|1,50
20030626|1,25
20030801|1,00
20040625|1,25
20040827|1,50
20050128|1,25
20050401|1,00
20050429|0,75
20051031|1,00
20060728|1,25
20060929|1,50
20070601|1,75
20070727|2,00
20070831|2,25
20071130|2,50
20080208|2,75
20080808|2,50
20081107|1,75
20081218|1,25
20090206|0,75
20090511|0,50
20090807|0,25
20121001|0,10
20121102|0,06
