PLATNA_OD|CNB_LOMBARDNI_SAZBA_V_%
19930101|14,00
19930809|12,50
19931217|11,50
19940408|10,50
19941024|11,00
19941202|11,50
19950626|22,50
19960621|4,00
19970516|51,00
19970627|23,00
19980123|19,00
19980814|16,00
19981027|15,00
19981223|12,50
19990312|10,00
19990903|8,00
19991027|7,50
20010223|6,00
20010727|6,25
20011130|5,75
20020122|5,50
20020201|5,25
20020426|4,75
20020726|4,00
20021101|3,75
20030131|3,50
20030626|3,25
20030801|3,00
20040625|3,25
20040827|3,50
20050128|3,25
20050401|3,00
20050429|2,75
20051031|3,00
20060728|3,25
20060929|3,50
20070601|3,75
20070727|4,00
20070831|4,25
20071130|4,50
20080208|4,75
20080808|4,50
20081107|3,75
20081218|3,25
20090206|2,75
20090511|2,50
20090807|2,25
20091217|2,00
20100507|1,75
20120629|1,50
20121001|0,75
20121102|0,25
